力量コード  ###[skill_code]###,力量名  ###[skill_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
SKL00235,モデル作成とMILSによる検証,CTG101020900,業務スキル＞開発技術＞構想設計＞MBSE/MBD,SKILL_DEFAULT,0,通知しない,"プラントモデルと制御モデル、テストケースを作り、MILS(モデルインザループ)で、メカ・ハード・ソフトの構想設計の正当性を検証できる。
指定ツール：Simulink、Simscape類、StateFlow",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , ロボチームースキル , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識 , 3G3-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00014,最適化設計,CTG101030100,業務スキル＞開発技術＞詳細設計＞最適化設計（メカ）,SKILL_DEFAULT,0,通知しない,強度解析・熱流体解析を通じて、性能を発揮する最適な部品形状・機械要素の仕様等を導くことができる(解析主導設計）,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G3SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00016,生産性設計,CTG101030300,業務スキル＞開発技術＞詳細設計＞生産性設計（メカ）,SKILL_DEFAULT,0,通知しない,加工・組付け・調達性・コストを考慮した形状・公差・アセンブリ設計・材料選定・部品選定ができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G3SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00017,安全設計,CTG101030400,業務スキル＞開発技術＞詳細設計＞安全性設計（メカ）,SKILL_DEFAULT,0,通知しない,FTA/FMEA手法を用いて、適切な安全率や安全な構造を、規格に基づき設計できる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G3SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00019,回路設計・設計仕様作成,CTG101030600,業務スキル＞開発技術＞詳細設計＞回路設計・設計仕様作成,SKILL_DEFAULT,0,通知しない,"回路図：所定のツールを使った部品データベースおよび回路図が作成できる。DRC、コンストレイント機能を使い、後工程からの手戻りのない設計ができる。
設計仕様書：回路の動作、ばらつきを含めた各種計算を含む詳細設計仕様をを作成できる。LT-SPICE、SI解析、PI解析、DC解析等を用い、設計段階で精度を高められる。",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 3G1-スキル・知識 , 2G2SEC-スキル・知識 , 3G3-スキル・知識 , 新技術推進部ースキル , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00020,基板設計（AW設計）,CTG101030700,業務スキル＞開発技術＞詳細設計＞基板設計（AW設計）,SKILL_DEFAULT,0,通知しない,"各種プリント配線基板について、設計仕様の構築、AW設計、検図、製造データ出力を実行できる。CADに付随したツールを駆使し、基板設計を通じて製品品質の向上を実現できる。

使用ツール：CR-8000ほか",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 2G2SEC-スキル・知識 , 3G3-スキル・知識 , 新技術推進部ースキル , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00023,ワイヤハーネス設計,CTG101030800,業務スキル＞開発技術＞詳細設計＞ワイヤハーネス設計,SKILL_DEFAULT,0,通知しない,社内の安全配線基準、組付け性、信頼性を確保したﾊｰﾈｽ設計と図面作成ができる。(使用ツール：Creo、Creo Cabling、ME）,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識 , 3G3-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00024,ハードウェア連携設計（ソフト）,CTG101030900,業務スキル＞開発技術＞詳細設計＞ソフト設計,SKILL_DEFAULT,0,通知しない,"・回路構成・デバイス特性に合わせた制御設計ができる
・メカ構成に合わせた動作の設計ができる
旧：デバイス制御設計",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 3G1-スキル・知識 , 2G2SEC-スキル・知識 , 3G3-スキル・知識 , 新技術推進部ースキル , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00026,ソフトウェア内部設計,CTG101030900,業務スキル＞開発技術＞詳細設計＞ソフト設計,SKILL_DEFAULT,0,通知しない,"■ソフト仕様・性能を実現するためのデータ構造、データフロー、データ保存・更新・削除等の内部処理の設計ができる
【設計書へのアウトプット】
・データ設計
・入出力I/F設計
・機能を実現する一連のデータフロー設計
　・処理手順設計（シーケンス図等）
■セキュリティ対応設計ができる",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 3G1-スキル・知識 , 2G2SEC-スキル・知識 , 3G3-スキル・知識 , 新技術推進部ースキル , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00028,高品質コーディング,CTG101031000,業務スキル＞開発技術＞詳細設計＞ソフト実装,SKILL_DEFAULT,0,通知しない,機能の実現を静的解析の指摘に対応しながら移植性・堅牢性の高いソフトウェアのコーディングができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 3G1-スキル・知識 , 2G2SEC-スキル・知識 , 3G3-スキル・知識 , 新技術推進部ースキル , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00236,制御モデルの高品質化,CTG101031100,業務スキル＞開発技術＞詳細設計＞MBSE/MBD,SKILL_DEFAULT,0,通知しない,"規格やガイドラインへの準拠、および期待値検証、カバレッジ評価を行って、品質を高められる。
指定ツール：Simulink Check、Simulink Coverage",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , ロボチームースキル , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識 , 3G3-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 4G3SECｰスキル、知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
