力量コード  ###[education_code]###,力量名  ###[education_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,学習形態  ###[learning_form]###,提供者  ###[provider]###,カリキュラム  ###[curriculum]###,対象者  ###[target]###,場所  ###[place]###,費用  ###[cost]###,受講期間  ###[course_period]###,学習時間（時間）  ###[learning_hour]###,学習時間（分）  ###[learning_time]###,社外講師  ###[external_lecturer]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]目的  ###[initial_value_training_plan_purpose]###,[育成計画の初期値]開催場所  ###[initial_value_training_plan_venue]###,[育成計画の初期値]方法  ###[initial_value_training_plan_method]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]所要時間（時間）  ###[initial_value_training_plan_required_time_hour]###,[育成計画の初期値]所要時間（分）  ###[initial_value_training_plan_required_time_minute]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]有効性評価の結果  ###[initial_value_training_plan_effectiveness_evaluation_result]###,[育成計画の初期値]課題  ###[initial_value_training_plan_improvement]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
nintei-e10,出荷検査員認定教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e11,出荷検査員指導者OJT教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e12,出荷検査員指導者認定教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e13,内部監査員講習（ISO9001）,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,3,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e14,内部監査員講習（ISO14001）,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,3,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e15,設備A認定作業者OJT教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e16,設備B認定作業者OJT教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e17,設備C認定作業者OJT教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e18,設備D認定作業者OJT教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e19,設備E認定作業者OJT教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
seizoubu-e1,図面読み取り講習（Lv.1）,O021,製造部＞製造部共通力量,EDUCATION_DEFAULT,0,通知しない,基礎的な図面の読み取りを習得する。,,強調する,全メンバーに公開,集合研修,製造部,"1．投影法
2．断面法
3．特殊投影法
4．寸法記入法
5．寸法公差・はめあい
6．幾何公差",新入社員,第1会議室,0,,3,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
seizoubu-e2,ノギス（Lv.1）,O021,製造部＞製造部共通力量,EDUCATION_DEFAULT,0,通知しない,ノギスの使い方を習得する。,,強調する,全メンバーに公開,集合研修,品質保証部,,新入社員,第1会議室,0,,1,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
seizoubu-e3,ハイトゲージ（Lv.1）,O021,製造部＞製造部共通力量,EDUCATION_DEFAULT,0,通知しない,ハイトゲージの使い方を習得する。,,強調する,全メンバーに公開,集合研修,品質保証部,,新入社員,第1会議室,0,,1,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
seizoubu-e4,マイクロメータ（Lv.1）,O021,製造部＞製造部共通力量,EDUCATION_DEFAULT,0,通知しない,マイクロメータの使い方を習得する。,,強調する,全メンバーに公開,集合研修,品質保証部,,新入社員,第1会議室,0,,1,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
seizoubu-e5,製品A（Lv.1）,"O021,8c3154lpDuW8Q2WMTZwC","製造部＞製造部共通力量,設計部＞基礎知識（製品）",EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,OJT,,,製造部新入社員,本社工場,0,,1,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,03_設計3課,指定しない,,,,,,,,,,,,,,,,,,,,
seizoubu-e6,製品B（Lv.2）,"O021,8c3154lpDuW8Q2WMTZwC","製造部＞製造部共通力量,設計部＞基礎知識（製品）",EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,OJT,,,製造部新入社員,本社工場,0,,1,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,03_設計3課,指定しない,,,,,,,,,,,,,,,,,,,,
seizoubu-e7,製品C（Lv.3）,"O021,8c3154lpDuW8Q2WMTZwC","製造部＞製造部共通力量,設計部＞基礎知識（製品）",EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,OJT,,,製造部新入社員,本社工場,0,,1,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,03_設計3課,指定しない,,,,,,,,,,,,,,,,,,,,
seizoubu-e8,製品D（Lv.4）,"O021,8c3154lpDuW8Q2WMTZwC","製造部＞製造部共通力量,設計部＞基礎知識（製品）",EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,OJT,,,製造部新入社員,本社工場,0,,1,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,03_設計3課,指定しない,,,,,,,,,,,,,,,,,,,,
kakou-e1,特殊品製品理解,O022,製造部＞加工課,EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,OJT,,,製造部,本社工場,0,,1,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
kakou-e2,工程内検査員講習,O022,製造部＞加工課,EDUCATION_DEFAULT,30,通知する,,,強調する,全メンバーに公開,集合研修,品質保証部,,検査員資格取得者全員,第1会議室,0,,1,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
kakou-e3,安全講習（Lv.1）,O022,製造部＞加工課,EDUCATION_DEFAULT,30,通知する,,,強調する,全メンバーに公開,集合研修,製造部,,製造部全員,第1会議室,0,,1,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
C0121e1,危険物取扱者保安講習［3年］,C0121,全社共通力量＞資格＞公的資格,EDUCATION_DEFAULT,180,通知する,,https://www.aikiren.jp/hoan_annai.html,強調する,全メンバーに公開,外部講習,一般社団法人愛知県危険物安全協会連合会,"危険物関係法令に関する事項：1時間
危険物の火災予防に関する事項：2時間",危険物取扱者資格を有する者,XX市文化会館,4700,,3,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,02_加工課資格マップ,指定する,期間を指定,3,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
C0121e2,消防設備士講習［初回2年］,C0121,全社共通力量＞資格＞公的資格,EDUCATION_DEFAULT,180,通知する,消防設備免状の交付を受けた日以降における最初の4月1日から2年以内,https://www.ai-ssa.jp/lecture_02.html,強調する,全メンバーに公開,外部講習,一般財団法人愛知県消防設備安全協会,"（1）工事整備対象設備等関係法令及び防火に関するその他法令等に関する事項
（2）工事整備対象設備等の工事または整備に関する事項
（3）効果測定",消防設備士免状の交付を受けている方,XX市文化会館,7000,,7,40,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,"02_加工課資格マップ , 02_製造部_資格マップ",指定する,期間を指定,2,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
C0121e3,消防設備士講習［5年］,C0121,全社共通力量＞資格＞公的資格,EDUCATION_DEFAULT,180,通知する,消防設備士講習を受けた日以降における最初の4月1日から5年以内,https://www.ai-ssa.jp/lecture_02.html,強調する,全メンバーに公開,外部講習,一般財団法人愛知県消防設備安全協会,"（1）工事整備対象設備等関係法令及び防火に関するその他法令等に関する事項
（2）工事整備対象設備等の工事または整備に関する事項
（3）効果測定",消防設備士免状の交付を受けている方,XX市文化会館,7000,,7,40,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,"02_加工課資格マップ , 02_製造部_資格マップ",指定する,期間を指定,5,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
C0121e4,第一種電気工事士定期講習［5年］,C0121,全社共通力量＞資格＞公的資格,EDUCATION_DEFAULT,180,通知する,,https://www.eei.or.jp/first-class/,強調する,全メンバーに公開,外部講習,一般財団法人電気工事技術講習センター,"（1）自家用電気工作物に係る電気工事に関する知識
（2）自家用電気工作物に係る電気工事に関する事故例
（3）自家用電気工作物の保安に関する法令",,XX市文化会館,9900,,8,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,"02_加工課資格マップ , 02_製造部_資格マップ",指定する,期間を指定,5,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
C0123a1,自由研削砥石取扱特別教育,C0123,全社共通力量＞資格＞特別教育,EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,"02_加工課資格マップ , 02_製造部_資格マップ",指定しない,,,,,,,,,,,,,,,,,,,,
C0123a2,アーク溶接特別教育,C0123,全社共通力量＞資格＞特別教育,EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,"02_加工課資格マップ , 02_製造部_資格マップ",指定しない,,,,,,,,,,,,,,,,,,,,
C0123a3,酸素欠乏等特別教育,C0123,全社共通力量＞資格＞特別教育,EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,"02_加工課資格マップ , 02_製造部_資格マップ",指定しない,,,,,,,,,,,,,,,,,,,,
C0123a4,振動工具取扱特別教育,C0123,全社共通力量＞資格＞特別教育,EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,"02_加工課資格マップ , 02_製造部_資格マップ",指定しない,,,,,,,,,,,,,,,,,,,,
C0123a5,低圧電気取扱特別教育,C0123,全社共通力量＞資格＞特別教育,EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,"02_加工課資格マップ , 02_製造部_資格マップ",指定しない,,,,,,,,,,,,,,,,,,,,
